0	CHEMBL445813
1	FLT1
2	CHEMBL386051
3	TRKA
4	CHEMBL939
5	MERTK
6	CHEMBL338448
7	PAK6
8	CHEMBL1173655
9	PIK3CA(Q546K)
10	RSK3(KinDom.2-C-terminal)
11	CHEMBL574738
12	CAMKK2
13	CHEMBL573339
14	GRK4
15	CHEMBL494089
16	CAMKK1
17	SRC
18	CHEMBL129198
19	IKK-beta
20	CHEMBL521851
21	JAK1(JH2domain-pseudokinase)
22	CHEMBL477772
23	AURKB
24	CHEMBL1421
25	MTOR
26	MAP4K3
27	CHEMBL1795071
28	NEK5
29	CHEMBL288441
30	RAF1
31	EPHB2
32	CHEMBL377300
33	GAK
34	CHEMBL553
35	ERK2
36	CHEMBL1521934
37	RIOK3
38	CHEMBL601719
39	MUSK
40	CHEMBL471496
41	ACVR2B
42	CHEMBL572881
43	NEK7
44	CHEMBL101253
45	AKT3
46	CHEMBL259084
47	PLK1
48	CHEMBL1336
49	TLK2
50	CHEMBL24828
51	TAOK1
52	CHEMBL124660
53	PIP5K2C
54	HIPK3
55	ACVR2A
56	CSNK1E
57	CHEMBL491473
58	LATS2
59	FLT3(R834Q)
60	CHEMBL608154
61	ICK
62	CHEMBL5303414
63	CHEMBL1908391
64	CHEMBL119385
65	CSNK1G2
66	CHEMBL1614701
67	MST2
68	CHEMBL230011
69	TAOK2
70	TIE2
71	CHEMBL558752
72	ABL1p
73	CHEMBL105442
74	BRAF(V600E)
75	DRAK2
76	ZAK
77	CHEMBL502835
78	p38-gamma
79	CSK
80	CHEMBL3988893
81	VRK2
82	CHEMBL31965
83	EPHB4
84	SRPK3
85	CHEMBL603469
86	SRMS
87	CHEMBL296468
88	RSK4(KinDom.2-C-terminal)
89	CHEMBL10
90	MYO3A
91	EPHA8
92	PFTK1
93	CHEMBL379218
94	GCN2(KinDom2S808G)
95	CHEMBL513909
96	ROS1
97	PFPK5(Pfalciparum)
98	MRCKA
99	HUNK
100	CHEMBL180022
101	ADCK4
102	FGFR4
103	INSRR
104	CHEMBL1289926
105	KIT(V559D-V654A)
106	ERBB3
107	p38-beta
108	CHEMBL103667
109	TYK2(JH2domain-pseudokinase)
110	CDKL2
111	CHEMBL1287853
112	RSK1(KinDom.2-C-terminal)
113	CHEMBL261849
114	HIPK4
115	EGFR(T790M)
116	CHEMBL554
117	LRRK2(G2019S)
118	EPHA2
119	FES
120	GRK1
121	CHEMBL1230609
122	ROCK1
123	CHEMBL509032
124	FGFR3(G697C)
125	NDR1
126	MARK3
127	ROCK2
128	CHEMBL941
129	CHEMBL525191
130	S6K1
131	PFCDPK1(Pfalciparum)
132	FLT4
133	CHEMBL91829
134	HPK1
135	SIK2
136	PKN2
137	p38-delta
138	CHEMBL450786
139	ERK1
140	CHEMBL255863
141	DDR1
142	CAMK2D
143	PLK2
144	RPS6KA5(KinDom.2-C-terminal)
145	CDK3
146	YES
147	CDKL5
148	DMPK
149	PKAC-alpha
150	PAK2
151	PIK3CB
152	CASK
153	BRK
154	CHEMBL221959
155	OSR1
156	ULK2
157	CHEMBL576982
158	TLK1
159	EPHA7
160	MAP3K4
161	MAP3K2
162	PYK2
163	ALK
164	CHEMBL4297063
165	PKAC-beta
166	PRKCH
167	PIK3CG
168	MLK2
169	ADCK3
170	CAMK2B
171	PHKG2
172	CHEMBL535
173	ACVRL1
174	ITK
175	ARK5
176	TGFBR2
177	CHEMBL1236107
178	PLK4
179	CDK2
180	EPHB1
181	DAPK1
182	MARK4
183	STK35
184	CDK7
185	DRAK1
186	AKT1
187	JAK3(JH1domain-catalytic)
188	PLK3
