0	CHEMBL445813
1	/
2	CHEMBL386051
3	CHEMBL939
4	CHEMBL338448
5	CHEMBL1173655
6	CHEMBL574738
7	CHEMBL573339
8	CHEMBL494089
9	CHEMBL129198
10	CHEMBL521851
11	CHEMBL477772
12	CHEMBL1421
13	CHEMBL1795071
14	CHEMBL288441
15	CHEMBL377300
16	CHEMBL553
17	CHEMBL1521934
18	CHEMBL601719
19	CHEMBL471496
20	CHEMBL572881
21	CHEMBL101253
22	CHEMBL259084
23	CHEMBL1336
24	CHEMBL24828
25	CHEMBL124660
26	CHEMBL491473
27	CHEMBL608154
28	CHEMBL5303414
29	CHEMBL1908391
30	CHEMBL119385
31	CHEMBL1614701
32	CHEMBL230011
33	CHEMBL558752
34	CHEMBL105442
35	CHEMBL502835
36	CHEMBL3988893
37	CHEMBL31965
38	CHEMBL603469
39	CHEMBL296468
40	CHEMBL10
41	CHEMBL379218
42	CHEMBL513909
43	CHEMBL180022
44	CHEMBL1289926
45	CHEMBL103667
46	CHEMBL1287853
47	CHEMBL261849
48	CHEMBL554
49	CHEMBL1230609
50	CHEMBL509032
51	CHEMBL941
52	CHEMBL525191
53	CHEMBL91829
54	CHEMBL450786
55	CHEMBL255863
56	CHEMBL221959
57	CHEMBL576982
58	CHEMBL4297063
59	CHEMBL535
60	CHEMBL1236107
61	CHEMBL176167
62	CHEMBL223360
63	CHEMBL1908397
64	CHEMBL215152
65	CHEMBL428690
66	CHEMBL572878
67	CHEMBL1230020
68	CHEMBL388978
