CHEMBL445813	/	/
CHEMBL386051	/	/
CHEMBL939	/	/
CHEMBL338448	/	/
CHEMBL1173655	/	/
CHEMBL1173655	/	/
CHEMBL574738	/	/
CHEMBL573339	/	/
CHEMBL494089	/	/
CHEMBL1173655	/	/
CHEMBL129198	/	/
CHEMBL521851	/	/
CHEMBL477772	/	/
CHEMBL1421	/	/
CHEMBL521851	/	/
CHEMBL1795071	/	/
CHEMBL288441	/	/
CHEMBL494089	/	/
CHEMBL377300	/	/
CHEMBL553	/	/
CHEMBL1521934	/	/
CHEMBL601719	/	/
CHEMBL471496	/	/
CHEMBL572881	/	/
CHEMBL101253	/	/
CHEMBL259084	/	/
CHEMBL1336	/	/
CHEMBL24828	/	/
CHEMBL124660	/	/
CHEMBL338448	/	/
CHEMBL601719	/	/
CHEMBL553	/	/
CHEMBL491473	/	/
CHEMBL1421	/	/
CHEMBL608154	/	/
CHEMBL5303414	/	/
CHEMBL1908391	/	/
CHEMBL119385	/	/
CHEMBL1521934	/	/
CHEMBL1614701	/	/
CHEMBL230011	/	/
CHEMBL1421	/	/
CHEMBL558752	/	/
CHEMBL105442	/	/
CHEMBL259084	/	/
CHEMBL1173655	/	/
CHEMBL502835	/	/
CHEMBL124660	/	/
CHEMBL1336	/	/
CHEMBL3988893	/	/
CHEMBL31965	/	/
CHEMBL1521934	/	/
CHEMBL603469	/	/
CHEMBL296468	/	/
CHEMBL10	/	/
CHEMBL471496	/	/
CHEMBL119385	/	/
CHEMBL379218	/	/
CHEMBL513909	/	/
CHEMBL119385	/	/
CHEMBL603469	/	/
CHEMBL939	/	/
CHEMBL1614701	/	/
CHEMBL180022	/	/
CHEMBL1336	/	/
CHEMBL31965	/	/
CHEMBL1289926	/	/
CHEMBL124660	/	/
CHEMBL379218	/	/
CHEMBL1336	/	/
CHEMBL103667	/	/
CHEMBL521851	/	/
CHEMBL1287853	/	/
CHEMBL377300	/	/
CHEMBL445813	/	/
CHEMBL261849	/	/
CHEMBL261849	/	/
CHEMBL554	/	/
CHEMBL494089	/	/
CHEMBL513909	/	/
CHEMBL502835	/	/
CHEMBL129198	/	/
CHEMBL1230609	/	/
CHEMBL494089	/	/
CHEMBL509032	/	/
CHEMBL939	/	/
CHEMBL103667	/	/
CHEMBL124660	/	/
CHEMBL1336	/	/
CHEMBL601719	/	/
CHEMBL1287853	/	/
CHEMBL521851	/	/
CHEMBL445813	/	/
CHEMBL941	/	/
CHEMBL525191	/	/
CHEMBL259084	/	/
CHEMBL1173655	/	/
CHEMBL91829	/	/
CHEMBL230011	/	/
CHEMBL521851	/	/
CHEMBL509032	/	/
CHEMBL553	/	/
CHEMBL608154	/	/
CHEMBL450786	/	/
CHEMBL255863	/	/
CHEMBL445813	/	/
CHEMBL601719	/	/
CHEMBL553	/	/
CHEMBL255863	/	/
CHEMBL91829	/	/
CHEMBL941	/	/
CHEMBL450786	/	/
CHEMBL124660	/	/
CHEMBL259084	/	/
CHEMBL939	/	/
CHEMBL101253	/	/
CHEMBL1173655	/	/
CHEMBL572881	/	/
CHEMBL554	/	/
CHEMBL24828	/	/
CHEMBL1521934	/	/
CHEMBL939	/	/
CHEMBL1795071	/	/
CHEMBL221959	/	/
CHEMBL601719	/	/
CHEMBL576982	/	/
CHEMBL491473	/	/
CHEMBL180022	/	/
CHEMBL5303414	/	/
CHEMBL939	/	/
CHEMBL1230609	/	/
CHEMBL491473	/	/
CHEMBL119385	/	/
CHEMBL129198	/	/
CHEMBL10	/	/
CHEMBL4297063	/	/
CHEMBL288441	/	/
CHEMBL554	/	/
CHEMBL477772	/	/
CHEMBL1287853	/	/
CHEMBL608154	/	/
CHEMBL573339	/	/
CHEMBL574738	/	/
CHEMBL101253	/	/
CHEMBL119385	/	/
CHEMBL521851	/	/
CHEMBL535	/	/
CHEMBL502835	/	/
CHEMBL259084	/	/
CHEMBL573339	/	/
CHEMBL31965	/	/
CHEMBL259084	/	/
CHEMBL521851	/	/
CHEMBL1236107	/	/
CHEMBL477772	/	/
CHEMBL535	/	/
CHEMBL3988893	/	/
CHEMBL513909	/	/
CHEMBL450786	/	/
CHEMBL255863	/	/
CHEMBL494089	/	/
CHEMBL450786	/	/
CHEMBL101253	/	/
CHEMBL119385	/	/
CHEMBL525191	/	/
CHEMBL574738	/	/
CHEMBL525191	/	/
CHEMBL31965	/	/
CHEMBL1421	/	/
CHEMBL124660	/	/
CHEMBL288441	/	/
CHEMBL230011	/	/
CHEMBL176167	/	/
CHEMBL31965	/	/
CHEMBL379218	/	/
CHEMBL525191	/	/
CHEMBL223360	/	/
CHEMBL103667	/	/
CHEMBL1236107	/	/
CHEMBL1908397	/	/
CHEMBL223360	/	/
CHEMBL1614701	/	/
CHEMBL296468	/	/
CHEMBL471496	/	/
CHEMBL24828	/	/
CHEMBL377300	/	/
CHEMBL477772	/	/
CHEMBL494089	/	/
CHEMBL1336	/	/
CHEMBL119385	/	/
CHEMBL261849	/	/
CHEMBL3988893	/	/
CHEMBL255863	/	/
CHEMBL1614701	/	/
CHEMBL1521934	/	/
CHEMBL554	/	/
CHEMBL941	/	/
CHEMBL513909	/	/
CHEMBL24828	/	/
CHEMBL601719	/	/
CHEMBL221959	/	/
CHEMBL554	/	/
CHEMBL261849	/	/
CHEMBL509032	/	/
CHEMBL1236107	/	/
CHEMBL215152	/	/
CHEMBL119385	/	/
CHEMBL554	/	/
CHEMBL558752	/	/
CHEMBL259084	/	/
CHEMBL573339	/	/
CHEMBL379218	/	/
CHEMBL939	/	/
CHEMBL603469	/	/
CHEMBL513909	/	/
CHEMBL259084	/	/
CHEMBL379218	/	/
CHEMBL101253	/	/
CHEMBL1521934	/	/
CHEMBL377300	/	/
CHEMBL3988893	/	/
CHEMBL554	/	/
CHEMBL101253	/	/
CHEMBL5303414	/	/
CHEMBL428690	/	/
CHEMBL24828	/	/
CHEMBL3988893	/	/
CHEMBL105442	/	/
CHEMBL119385	/	/
CHEMBL129198	/	/
CHEMBL1230609	/	/
CHEMBL129198	/	/
CHEMBL255863	/	/
CHEMBL379218	/	/
CHEMBL1795071	/	/
CHEMBL525191	/	/
CHEMBL1287853	/	/
CHEMBL513909	/	/
CHEMBL223360	/	/
CHEMBL101253	/	/
CHEMBL608154	/	/
CHEMBL572881	/	/
CHEMBL494089	/	/
CHEMBL525191	/	/
CHEMBL1287853	/	/
CHEMBL124660	/	/
CHEMBL939	/	/
CHEMBL101253	/	/
CHEMBL572878	/	/
CHEMBL221959	/	/
CHEMBL572878	/	/
CHEMBL296468	/	/
CHEMBL572881	/	/
CHEMBL255863	/	/
CHEMBL558752	/	/
CHEMBL1287853	/	/
CHEMBL1336	/	/
CHEMBL491473	/	/
CHEMBL1908397	/	/
CHEMBL554	/	/
CHEMBL1236107	/	/
CHEMBL572881	/	/
CHEMBL255863	/	/
CHEMBL601719	/	/
CHEMBL221959	/	/
CHEMBL572881	/	/
CHEMBL176167	/	/
CHEMBL494089	/	/
CHEMBL1173655	/	/
CHEMBL558752	/	/
CHEMBL221959	/	/
CHEMBL1421	/	/
CHEMBL535	/	/
CHEMBL1908397	/	/
CHEMBL1908397	/	/
CHEMBL377300	/	/
CHEMBL124660	/	/
CHEMBL259084	/	/
CHEMBL428690	/	/
CHEMBL445813	/	/
CHEMBL4297063	/	/
CHEMBL10	/	/
CHEMBL377300	/	/
CHEMBL1908391	/	/
CHEMBL105442	/	/
CHEMBL1795071	/	/
CHEMBL1236107	/	/
CHEMBL477772	/	/
CHEMBL1908391	/	/
CHEMBL261849	/	/
CHEMBL3988893	/	/
CHEMBL471496	/	/
CHEMBL1230020	/	/
CHEMBL259084	/	/
CHEMBL1795071	/	/
CHEMBL377300	/	/
CHEMBL572878	/	/
CHEMBL502835	/	/
CHEMBL259084	/	/
CHEMBL1908397	/	/
CHEMBL1908391	/	/
CHEMBL119385	/	/
CHEMBL471496	/	/
CHEMBL101253	/	/
CHEMBL521851	/	/
CHEMBL223360	/	/
CHEMBL1336	/	/
CHEMBL574738	/	/
CHEMBL608154	/	/
CHEMBL379218	/	/
CHEMBL388978	/	/
CHEMBL1795071	/	/
CHEMBL129198	/	/
CHEMBL1908391	/	/
CHEMBL261849	/	/
CHEMBL573339	/	/
CHEMBL91829	/	/
CHEMBL31965	/	/
CHEMBL215152	/	/
CHEMBL10	/	/
CHEMBL221959	/	/
CHEMBL445813	/	/
CHEMBL103667	/	/
CHEMBL573339	/	/
CHEMBL1236107	/	/
CHEMBL91829	/	/
CHEMBL576982	/	/
CHEMBL525191	/	/
CHEMBL91829	/	/
CHEMBL1230020	/	/
CHEMBL261849	/	/
CHEMBL230011	/	/
CHEMBL10	/	/
CHEMBL941	/	/
CHEMBL377300	/	/
CHEMBL223360	/	/
CHEMBL554	/	/
CHEMBL1230609	/	/
CHEMBL223360	/	/
CHEMBL1336	/	/
CHEMBL31965	/	/
CHEMBL471496	/	/
CHEMBL1287853	/	/
CHEMBL124660	/	/
CHEMBL386051	/	/
CHEMBL573339	/	/
CHEMBL573339	/	/
CHEMBL1230609	/	/
CHEMBL31965	/	/
CHEMBL230011	/	/
CHEMBL553	/	/
CHEMBL572878	/	/
CHEMBL1289926	/	/
CHEMBL288441	/	/
